Continent,Region,Country,Value,Type,Year_
Europe,European Free Trade Association (EFTA),Switzerland,2603.0,Imports,2015
Europe,Other Europe,Russia,294.0,Imports,2015
Europe,Other Europe,Isle Of Man,9.0,Imports,2015
Europe,Other Europe,Turkey,370.0,Imports,2015
Europe,Other Europe,Rest Of Europe,146.0,Imports,2015
Europe,Other Europe,Europe Unallocated,1494.0,Imports,2015
America,America,Brazil,184.0,Imports,2015
America,America,Canada,563.0,Imports,2015
America,America,Mexico,45.0,Imports,2015
America,America,USA,13880.0,Imports,2015
America,America,Rest Of America,683.0,Imports,2015
America,America,America Unallocated,57.0,Imports,2015
Asia,Asia,China,861.0,Imports,2015
Asia,Asia,Hong Kong,760.0,Imports,2015
Asia,Asia,India,1759.0,Imports,2015
Asia,Asia,Indonesia,72.0,Imports,2015
Asia,Asia,Israel,375.0,Imports,2015
Asia,Asia,Japan,1702.0,Imports,2015
Asia,Asia,Malaysia,147.0,Imports,2015
Asia,Asia,Pakistan,35.0,Imports,2015
Asia,Asia,Philippines,319.0,Imports,2015
Asia,Asia,Saudi Arabia,84.0,Imports,2015
Asia,Asia,Singapore,1196.0,Imports,2015
Asia,Asia,South Korea,207.0,Imports,2015
Asia,Asia,Taiwan,86.0,Imports,2015
Asia,Asia,Thailand,64.0,Imports,2015
Asia,Asia,Rest Of Asia,1188.0,Imports,2015
Asia,Asia,Asia Unallocated,209.0,Imports,2015
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,1096.0,Imports,2015
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,70.0,Imports,2015
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,0.0,Imports,2015
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Imports,2015
Africa,Africa,Nigeria,97.0,Imports,2015
Africa,Africa,South Africa,408.0,Imports,2015
Africa,Africa,Rest Of Africa,520.0,Imports,2015
Africa,Africa,Africa Unallocated,114.0,Imports,2015
Europe,European Union (EU),Austria,355.0,Imports,2016
Europe,European Union (EU),Belgium,1331.0,Imports,2016
Europe,European Union (EU),Bulgaria,138.0,Imports,2016
Europe,European Union (EU),Croatia,23.0,Imports,2016
Europe,European Union (EU),Cyprus,135.0,Imports,2016
Europe,European Union (EU),Czechia,305.0,Imports,2016
Europe,European Union (EU),Denmark,638.0,Imports,2016
