Continent,Region,Country,Value,Type,Year_
Africa,Africa,Rest Of Africa,3216.0,Exports,2015
Africa,Africa,Africa Unallocated,216.0,Exports,2015
Europe,European Union (EU),Austria,482.0,Exports,2016
Europe,European Union (EU),Belgium,2516.0,Exports,2016
Europe,European Union (EU),Bulgaria,137.0,Exports,2016
Europe,European Union (EU),Croatia,72.0,Exports,2016
Europe,European Union (EU),Cyprus,413.0,Exports,2016
Europe,European Union (EU),Czechia,444.0,Exports,2016
Europe,European Union (EU),Denmark,1976.0,Exports,2016
Europe,European Union (EU),Estonia,38.0,Exports,2016
Europe,European Union (EU),Finland,623.0,Exports,2016
Europe,European Union (EU),France,6516.0,Exports,2016
Europe,European Union (EU),Germany,9719.0,Exports,2016
Europe,European Union (EU),Greece,425.0,Exports,2016
Europe,European Union (EU),Hungary,325.0,Exports,2016
Europe,European Union (EU),Ireland,9092.0,Exports,2016
Europe,European Union (EU),Italy,2680.0,Exports,2016
Europe,European Union (EU),Latvia,77.0,Exports,2016
Europe,European Union (EU),Lithuania,75.0,Exports,2016
Europe,European Union (EU),Luxembourg,2589.0,Exports,2016
Europe,European Union (EU),Malta,410.0,Exports,2016
Europe,European Union (EU),Netherlands,7672.0,Exports,2016
Europe,European Union (EU),Poland,1004.0,Exports,2016
Europe,European Union (EU),Portugal,393.0,Exports,2016
Europe,European Union (EU),Romania,273.0,Exports,2016
Europe,European Union (EU),Slovakia,193.0,Exports,2016
Europe,European Union (EU),Slovenia,87.0,Exports,2016
Europe,European Union (EU),Spain,2532.0,Exports,2016
Europe,European Union (EU),Sweden,2496.0,Exports,2016
Europe,European Free Trade Association (EFTA),Iceland,155.0,Exports,2016
Europe,European Free Trade Association (EFTA),Liechtenstein,84.0,Exports,2016
Europe,European Free Trade Association (EFTA),Norway,1708.0,Exports,2016
Europe,European Free Trade Association (EFTA),Switzerland,7737.0,Exports,2016
Europe,Other Europe,Russia,900.0,Exports,2016
Europe,Other Europe,Isle Of Man,239.0,Exports,2016
Europe,Other Europe,Turkey,699.0,Exports,2016
Europe,Other Europe,Rest Of Europe,841.0,Exports,2016
Europe,Other Europe,Europe Unallocated,2437.0,Exports,2016
America,America,Brazil,507.0,Exports,2016
America,America,Canada,2089.0,Exports,2016
America,America,Mexico,370.0,Exports,2016
America,America,USA,32733.0,Exports,2016
America,America,Rest Of America,3533.0,Exports,2016
America,America,America Unallocated,444.0,Exports,2016
Asia,Asia,China,1600.0,Exports,2016
Asia,Asia,Hong Kong,1330.0,Exports,2016
Asia,Asia,India,1062.0,Exports,2016
Asia,Asia,Indonesia,153.0,Exports,2016
Asia,Asia,Israel,581.0,Exports,2016
Asia,Asia,Japan,2743.0,Exports,2016
Asia,Asia,Malaysia,477.0,Exports,2016
Asia,Asia,Pakistan,243.0,Exports,2016
Asia,Asia,Philippines,123.0,Exports,2016
Asia,Asia,Saudi Arabia,4874.0,Exports,2016
Asia,Asia,Singapore,1767.0,Exports,2016
Asia,Asia,South Korea,851.0,Exports,2016
Asia,Asia,Taiwan,514.0,Exports,2016
Asia,Asia,Thailand,212.0,Exports,2016
Asia,Asia,Rest Of Asia,7388.0,Exports,2016
Asia,Asia,Asia Unallocated,859.0,Exports,2016
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,1968.0,Exports,2016
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,223.0,Exports,2016
